開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/01/24,,3歳未勝利,小倉,芝1800m,アルヴァンドルード,モーリス,ティグラーシャ,ディープインパクト,サンデーレーシング,ノーザンファーム,,
2026/01/24,,3歳未勝利,小倉,ダ1700m,アンコールアゲイン,ナダル,アメリカンドミンゴ,Scat Daddy,吉澤ホールディングス,三嶋牧場,,
2026/01/24,,3歳未勝利,京都,ダ1800m,シャフメラン,ドレフォン,ミラクルレジェンド,フジキセキ,吉田　照哉,社台ファーム,,
2026/01/24,,3歳未勝利,中山,ダ1800m,スノースコール,クリソベリル,スノーユニバンス,ルーラーシップ,亀井　哲也,アスラン,,
2026/01/24,,3歳未勝利,京都,芝2200m,ブラックオリンピア,キタサンブラック,ピノ,Pierro,サンデーレーシング,ノーザンファーム,,
2026/01/24,,3歳未勝利,中山,芝2200m,ミッキーファルコン,エピファネイア,ミッキークイーン,ディープインパクト,野田　みづき,ノーザンファーム,,
2026/01/24,,3歳未勝利,中山,ダ1200m,ムーンブランシュ,ドレフォン,ミチャチスインテンタ,Paynter,辻子　依旦,川越ファーム,,
2026/01/24,,4歳上1勝クラス,中山,ダ1800m,キョウエイフロイデ,サトノクラウン,ケイティバローズ,マンハッタンカフェ,田中　晴夫,天羽　禮治,,
2026/01/24,,4歳上1勝クラス,小倉,芝2600m,スズカミエール,エピファネイア,スズカローラー,スズカマンボ,永井　宏明,辻　牧場,,
2026/01/24,,4歳上1勝クラス,中山,芝1600m,プリムツァール,イスラボニータ,プレミアステップス,Footstepsinthesand,社台レースホース,社台ファーム,,
2026/01/24,,4歳上1勝クラス,小倉,ダ2400m,ベイラム,サートゥルナーリア,ベイトゥベイ,Sligo Bay,社台レースホース,社台ファーム,,
2026/01/24,,4歳上1勝クラス,中山,ダ1200m,ルーフオブヘヴン,ドレフォン,スターズインヘヴン,ワークフォース,吉田　晴哉,社台コーポレーション白老ファーム,,
2026/01/24,,4歳上1勝クラス,京都,ダ1800m,ワイドクリーガー,サトノクラウン,ピュアアモーレ,マツリダゴッホ,幅田　京子,新井牧場,847万円（北海道サマーセール）,
2026/01/24,,初富士ステークス（4歳以上3勝クラス）,中山,芝2000m,エセルフリーダ,キタサンブラック,デルマオギン,ハービンジャー,高橋　文男,社台ファーム,"1,540万円（セレクトセール）",
2026/01/24,G3,小倉牝馬ステークス,小倉,芝2000m,ジョスラン,エピファネイア,ケイティーズハート,ハーツクライ,吉田　和美,ノーザンファーム,,
